recipes_id,title,category
1,"Lentil, Apple, and Turkey Wrap ",wrap
2,Boudin Blanc Terrine with Red Onion Confit ,sweet
3,Potato and Fennel Soup Hodge ,soup
4,Mahi-Mahi in Tomato Olive Sauce ,sauce
5,Spinach Noodle Casserole ,noodle
6,The Best Blts ,sandwitch
7,Ham and Spring Vegetable Salad with Shallot Vinaigrette ,salad
8,Spicy-Sweet Kumquats ,sandwitch
9,Korean Marinated Beef ,meat
10,Ham Persillade with Mustard Potato Salad and Mashed Peas ,salad
11,"Yams Braised with Cream, Rosemary and Nutmeg ",meat
12,Spicy Noodle Soup ,soup
13,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,sweet
14,Beef Tenderloin with Garlic and Brandy ,meat
15,Peach Mustard ,sweet
16,Raw Cream of Spinach Soup ,soup
17,Sweet Buttermilk Spoon Breads ,sandwitch
18,Crisp Braised Pork Shoulder ,meat
19,Mozzarella-Topped Peppers with Tomatoes and Garlic ,salad
20,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",salad
21,Asian Pear and Watercress Salad with Sesame Dressing ,salad
22,"""Fried"" Chicken ",meat
23,Fish Fillets in Parchment with Asparagus and Orange ,fish
24,Pancetta and Taleggio Lasagna with Treviso ,meat
25,Sea Salt-Roasted Pecans ,salad
26,Garlic Baguette Crumbs ,sandwitch
27,Cucumber-Basil Egg Salad ,salad
28,Dried Pear Crisps ,sweet
29,"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",salad
30,Apricot-Cherry Shortcakes ,sweet
31,Asian Steak Topped with Bell Pepper Stir-Fry ,meat
32,Moroccan-Style Preserved Lemons ,sweet
33,Roasted Sweet-Potato Spears with Bacon Vinaigrette ,meat
34,Some soup,soup
